id;check_in_date;check_out_date;total_price;booking_date;status;special_requests
1;2025-02-04T13:50:10;2025-02-04T21:40:15;18759.87;2025-02-05T00:38:39;COMPLETED;../fake-data/blob/hipster.txt
2;2025-02-04T21:16:21;2025-02-05T05:36:57;9455.7;2025-02-04T19:12:43;CONFIRMED;../fake-data/blob/hipster.txt
3;2025-02-05T06:03:17;2025-02-05T04:58:05;6607.46;2025-02-05T01:13:52;COMPLETED;../fake-data/blob/hipster.txt
4;2025-02-05T00:01:03;2025-02-05T02:17:21;3178.48;2025-02-05T03:53:37;CONFIRMED;../fake-data/blob/hipster.txt
5;2025-02-04T16:05:36;2025-02-05T07:54:10;12608.59;2025-02-04T19:46:38;PENDING;../fake-data/blob/hipster.txt
6;2025-02-04T23:03:45;2025-02-05T00:58:18;11117.35;2025-02-04T18:03:32;COMPLETED;../fake-data/blob/hipster.txt
7;2025-02-05T10:31:13;2025-02-04T12:51:22;31247.21;2025-02-04T17:20:38;COMPLETED;../fake-data/blob/hipster.txt
8;2025-02-05T01:37:42;2025-02-04T13:46:56;27840.08;2025-02-05T05:19:18;CONFIRMED;../fake-data/blob/hipster.txt
9;2025-02-05T04:23:55;2025-02-05T08:35:29;8350.33;2025-02-05T02:02:53;PENDING;../fake-data/blob/hipster.txt
10;2025-02-04T12:47:50;2025-02-04T17:44:58;4721.81;2025-02-05T05:57:20;PENDING;../fake-data/blob/hipster.txt
