id;code;discount_type;discount_value;valid_from;valid_until;max_uses;is_active
1;now trash;FIXED_AMOUNT;20987.07;2025-02-04T22:03:18;2025-02-05T01:36:39;27683;true
2;fathom submissive;FIXED_AMOUNT;6459.03;2025-02-05T01:49:15;2025-02-05T05:33:26;32214;true
3;per intent cruelly;PERCENTAGE;26130.16;2025-02-05T00:53:57;2025-02-05T04:37:19;30481;false
4;aside avalanche;PERCENTAGE;22584.88;2025-02-05T07:17:41;2025-02-04T13:34:10;7785;true
5;until afore alive;FIXED_AMOUNT;17004.14;2025-02-04T13:13:30;2025-02-05T04:22:45;16508;true
6;meh cutover;PERCENTAGE;447.8;2025-02-05T11:59:19;2025-02-05T09:45:51;16287;true
7;zowie stranger below;PERCENTAGE;7650.8;2025-02-05T02:36:30;2025-02-05T07:51:03;3559;false
8;hm;FIXED_AMOUNT;22941.07;2025-02-04T20:20:17;2025-02-05T12:04:27;25207;false
9;at dock what;PERCENTAGE;9442.3;2025-02-04T17:38:17;2025-02-04T16:31:36;11657;false
10;till bleach;PERCENTAGE;28618.28;2025-02-05T02:25:07;2025-02-05T11:03:18;17923;true
