id;title;description;price_per_night;address;latitude;longitude;number_of_rooms;number_of_bathrooms;max_guests;property_size;availability_start;availability_end;instant_book;minimum_stay;cancellation_policy;house_rules;is_active
1;submissive;../fake-data/blob/hipster.txt;17653.33;biodegrade backburn how;19652.88;12455.56;8453;574;6102;16322;2025-02-05T03:45:22;2025-02-04T14:30:03;false;7028;inasmuch fixed;../fake-data/blob/hipster.txt;false
2;weekly;../fake-data/blob/hipster.txt;17772.64;advanced;19920.78;2835.97;13574;15724;24966;14891;2025-02-05T06:46:04;2025-02-04T21:57:06;false;9800;tense;../fake-data/blob/hipster.txt;true
3;aha;../fake-data/blob/hipster.txt;3943.4;since jam-packed;6917.41;9667.35;12061;17828;4843;28779;2025-02-05T02:16:34;2025-02-04T17:27:16;false;4949;slope gadzooks;../fake-data/blob/hipster.txt;false
4;selfishly;../fake-data/blob/hipster.txt;11492.41;regal perp;2147.35;11727.12;4476;2538;4282;5697;2025-02-05T02:28:09;2025-02-05T09:07:45;false;20591;till privilege;../fake-data/blob/hipster.txt;false
5;er best except;../fake-data/blob/hipster.txt;31053.91;around hence ack;11952.53;13869.94;31263;21303;16585;8303;2025-02-05T12:25:25;2025-02-05T07:21:06;true;10068;sour colour;../fake-data/blob/hipster.txt;false
6;coagulate;../fake-data/blob/hipster.txt;13645.27;solace meander hence;16561.33;5997.79;31315;27740;18686;18703;2025-02-04T13:03:56;2025-02-05T06:23:30;true;5672;tremendously;../fake-data/blob/hipster.txt;true
7;beside closed beneficial;../fake-data/blob/hipster.txt;30621.54;dispense powerfully permafrost;12054.59;7538.77;3695;4778;18714;1082;2025-02-04T20:40:37;2025-02-04T23:12:49;false;17908;since incidentally yum;../fake-data/blob/hipster.txt;false
8;sans shred makeover;../fake-data/blob/hipster.txt;28222.54;front;14409.92;21489.84;12353;18546;9238;14817;2025-02-05T06:20:14;2025-02-05T09:16:34;true;24944;charlatan strategy;../fake-data/blob/hipster.txt;true
9;readjust sleepily;../fake-data/blob/hipster.txt;26230.8;via in;18801.05;1544.83;2833;27113;17748;18928;2025-02-04T23:01:37;2025-02-05T01:55:29;false;23261;see;../fake-data/blob/hipster.txt;true
10;now yahoo;../fake-data/blob/hipster.txt;29620.14;insolence for woefully;8084.15;31993.7;5493;1559;15420;29959;2025-02-05T03:36:38;2025-02-05T09:07:43;false;32756;zowie;../fake-data/blob/hipster.txt;true
